,BTC,ETH,SP500,NASDAQ,VIX,GOLD,DXY,US10Y
Ticker,BTC-USD,ETH-USD,^GSPC,^NDX,^VIX,GC=F,DX-Y.NYB,^TNX
Date,,,,,,,,
2015-06-16,0.0577215235200358,,0.005673730515753803,0.005170547298698321,-0.038415313545916235,-0.004057870754626063,0.0020020284211875066,-0.017109040447647522
2015-06-17,-0.006441746888822008,,0.0019776843950728407,0.0029311514914933104,-0.021154007186513838,-0.0034791290925295453,-0.007395669598904624,-0.005190359288602469
2015-06-18,-0.0011117713391535112,,0.009854000054008836,0.013970075900103929,-0.09468971451055078,0.021111827743485453,-0.0027609885942576906,0.01932638021025968
2015-06-19,-0.017832259441455525,,-0.00531761523794962,-0.00407510251135583,0.056737165150839666,0.0,0.000531498689949662,-0.036383445718787995
2015-06-20,0.002474401130183899,,,,,,,
2015-06-21,-0.0051844736489190454,,,,,,,
2015-06-22,0.012409180462625208,,,,,,,
2015-06-23,-0.01096724591440124,,0.0006356664251933869,0.0010338302674844076,-0.05071510296376066,-0.006356223197024235,0.01159370555414304,0.020550115792238692
2015-06-24,-0.015598171178905587,,-0.007380465718305258,-0.005321126022997984,0.09072047280414063,-0.0030653768027383383,-0.0017829798290882094,-0.015899861575443
2015-06-25,0.00945146884397475,,-0.0029780041565964136,-0.002343355236629571,0.05501937466715889,-0.0009385057618116827,-0.0007350978870449008,0.009235933096696618
2015-06-26,0.0032689569671338244,,-0.00039015574492238484,-0.0066079422051515055,0.0007135375712560152,0.0011943563947357445,0.00293715488525876,0.03409662142464362
2015-06-27,0.029910238649985002,,,,,,,
2015-06-28,-0.007916041018021671,,,,,,,
2015-06-29,0.031827984516984625,,,,,,,
2015-06-30,0.023102661546717907,,0.0026549623524674106,0.0038487823941649587,-0.033444370551028266,-0.005957464428335503,0.007357579467432491,0.0017145089463655651
2015-07-01,-0.017064046599051412,,0.006912096434637041,0.00735789690875492,-0.12487059309242127,-0.0021362964757819457,0.008550622632452175,0.0349288376353946
2015-07-02,-0.012485740380607286,,-0.00030807018954653404,0.0009388096297804507,0.04258555512988953,-0.005145808953403949,-0.002078755037570055,-0.010392983193200013
2015-07-03,0.003611140537128755,,,,,,,
2015-07-04,0.017594399701258708,,,,,,,
2015-07-05,0.04139866364903754,,,,,,,
2015-07-06,-0.010659248530482286,,,,,,,
2015-07-07,-0.010548688624993648,,0.006062560593868743,0.0023508670891189544,-0.055603449375801695,-0.01763258994680646,0.005901551297379307,-0.020848024587375356
2015-07-08,0.01705095721058097,,-0.016792964912141516,-0.017648369657961863,0.2003881364699924,0.009414090400743112,-0.006005421031357485,-0.011268930043973563
2015-07-09,-0.005766569135055685,,0.0022596476448199895,0.00010333804908869359,0.01564500608618887,-0.003703271456771109,0.003317781086889777,0.04216290097798346
2015-07-10,0.056558632505455265,,0.012262986385007718,0.015531256526026799,-0.1710681093743687,-0.001122328304907492,-0.006021631908907179,0.049183262160005264
2015-07-11,0.02844776519770061,,,,,,,
2015-07-12,0.05880019194966264,,,,,,,
2015-07-13,-0.06242651475623316,,,,,,,
2015-07-14,-0.015841069719805347,,0.00444327323650017,0.00643164593823729,-0.03887543013845879,-0.0016460063008068057,-0.002273915405681178,-0.012839330384214512
2015-07-15,-0.0057038327096080475,,-0.0007352563007372865,0.001080366924896923,-0.010526439027886638,-0.005303292287155819,0.0050575312660768364,-0.020636666866160915
2015-07-16,-0.027452597215516125,,0.007982733444475738,0.014587158682831908,-0.08845541431178576,-0.0029680531118790564,0.005441836995215882,0.0008507416512518954
2015-07-17,0.00496088681237782,,0.00110557162445071,0.014411786263793233,-0.01330026679820605,-0.010546766320174742,0.002045795965891168,-0.001276333292456123
2015-07-18,-0.016491018120761647,,,,,,,
2015-07-19,-0.004692632405765162,,,,,,,
2015-07-20,0.019425230515446274,,,,,,,
2015-07-21,-0.01134799606665116,,-0.004270796242723094,-0.0011267840916162118,-0.0024519613955023426,-0.002986226185725619,-0.007166256570040266,-0.013582579600442372
2015-07-22,0.005022936197976215,,-0.00239056502019028,-0.01100717629958882,-0.008217004396385256,-0.010935045842920037,0.0027701925337893602,-0.007721997914179563
2015-07-23,-0.0042401477702135515,,-0.0056922102113794535,-0.004424460003918098,0.042009444681472906,0.0023794058603042695,-0.00493012219356099,-0.019570129473169655
2015-07-24,0.043346917965858316,,-0.010761020696661188,-0.009925620223587176,0.08344485425581512,-0.007707896950271182,0.001234771887802716,-0.002638542492899787
2015-07-25,0.0014523190754852883,,,,,,,
2015-07-26,0.013722713943767523,,,,,,,
2015-07-27,0.003199635296651489,,,,,,,
2015-07-28,0.0027310880836206508,,0.012310073801889353,0.009062445001972293,-0.14903563483515622,-0.0001823706384319658,0.002793985858093338,0.009825927538453542
2015-07-29,-0.01656498435681487,,0.007292142927383681,0.004675246844539407,-0.07250665956526697,-0.003289265328567696,0.002167812088872071,0.012806553296458517
2015-07-30,-0.0064714333140721645,,2.836690402236809e-05,0.0037013973783324755,-0.030046911917760995,-0.003942902550703331,0.0059627420311494095,-0.004838433265258753
2015-07-31,-0.0107343496138054,,-0.002274103801051709,-0.0021071436367951914,-0.00082476119164599,0.0059543068371229295,-0.0019493651247080854,-0.028170861949148557
2015-08-01,-0.010769111724396336,,,,,,,
2015-08-02,0.0035908351551854666,,,,,,,
2015-08-03,-0.004919921450151317,,,,,,,
